client_id,age,occupation,income,risk_profile,savings_rate,n_holdings,invested_total,current_total,pnl_pct,redemptions_90d,sip_missed_3m,sip_active,idle_cash,has_insurance,has_elss,has_debt,large_cap_pct,is_hni,behavioral_risk_label,priority_label,health_score_label,lead_label
CL1031,38,Self-Employed,50000,Aggressive,0.21,3,362141,323700.0,-0.106,0,0,1,0,0,1,0,0.0,0,low,0,61.3,0
CL1032,44,Business Owner,400000,Aggressive,0.8,1,103465,87567.0,-0.154,0,0,1,0,0,0,0,0.0,1,medium,0,53.2,1
CL1033,25,Salaried,700000,Conservative,0.184,3,535329,420030.0,-0.215,0,1,1,10000,0,0,0,0.0,1,medium,1,57.6,1
CL1034,27,Self-Employed,150000,Aggressive,0.685,4,385513,459563.0,0.192,0,0,1,10000,0,1,1,0.0,0,low,0,81.8,1
CL1035,61,Self-Employed,400000,Aggressive,0.473,2,368763,380246.0,0.031,0,1,1,150000,0,1,1,0.0,1,low,1,81.4,0
CL1036,25,Salaried,400000,Aggressive,0.265,4,864180,904014.0,0.046,1,0,1,400000,1,0,0,0.0,1,medium,0,67.8,0
CL1037,42,Business Owner,150000,Moderate,0.5,2,485679,570328.0,0.174,2,1,0,50000,1,0,1,0.0,0,high,0,92.7,0
CL1038,47,Business Owner,75000,Aggressive,0.351,2,199529,195634.0,-0.02,1,0,1,50000,1,1,1,0.0,0,low,0,100.0,0
CL1039,61,Self-Employed,250000,Moderate,0.284,3,742479,816770.0,0.1,1,0,0,150000,1,1,0,0.0,0,high,0,88.9,0
CL1040,62,Salaried,250000,Conservative,0.524,5,860370,818893.0,-0.048,0,1,1,400000,1,1,0,0.731,0,medium,0,67.2,1
CL1041,47,Self-Employed,700000,Conservative,0.227,1,380512,353265.0,-0.072,3,0,0,0,1,0,0,0.0,1,high,1,88.4,0
CL1042,37,Business Owner,75000,Aggressive,0.403,3,432851,367759.0,-0.15,0,0,1,400000,1,1,0,0.635,0,low,0,67.1,1
CL1043,43,Business Owner,700000,Aggressive,0.416,4,830347,880381.0,0.06,0,1,1,10000,1,1,1,0.0,1,medium,1,100.0,0
CL1044,56,Business Owner,700000,Conservative,0.059,2,563906,598267.0,0.061,1,0,1,10000,0,0,1,0.624,1,medium,0,68.8,0
CL1045,31,Salaried,75000,Moderate,0.526,5,1233923,1122982.0,-0.09,0,0,0,50000,0,1,0,0.762,0,low,0,46.4,1
CL1046,24,Self-Employed,400000,Conservative,0.257,2,541869,494978.0,-0.087,1,2,1,150000,1,0,1,0.0,1,high,1,92.8,1
CL1047,37,Salaried,700000,Moderate,0.411,3,942975,903056.0,-0.042,2,0,1,400000,0,0,1,0.58,1,high,1,71.1,1
CL1048,31,Self-Employed,35000,Aggressive,0.768,4,514848,445244.0,-0.135,0,0,1,10000,0,0,1,0.496,0,low,0,76.1,1
CL1049,47,Self-Employed,150000,Moderate,0.447,0,0,0.0,0.0,0,1,1,400000,1,0,0,0.0,0,medium,0,78.9,1
CL1050,45,Business Owner,100000,Conservative,0.35,5,945174,839056.0,-0.112,0,1,1,150000,1,1,0,0.579,0,medium,0,89.1,0
CL1051,39,Salaried,250000,Aggressive,0.553,4,616606,591717.0,-0.04,0,1,1,150000,1,0,0,0.875,0,low,0,59.2,0
CL1052,48,Salaried,100000,Aggressive,0.577,5,1291830,896679.0,-0.306,1,0,1,10000,1,0,0,0.697,0,medium,1,68.9,1
CL1053,27,Salaried,250000,Moderate,0.402,3,1005097,1125167.0,0.119,0,0,1,0,1,0,1,0.879,0,low,0,74.5,0
CL1054,40,Self-Employed,700000,Moderate,0.418,5,1152848,1139826.0,-0.011,0,0,1,50000,0,1,0,0.597,1,low,0,68.0,0
CL1055,43,Self-Employed,75000,Conservative,0.092,2,365056,347568.0,-0.048,0,0,1,400000,1,0,0,0.0,0,low,0,69.3,1
CL1056,58,Business Owner,35000,Conservative,0.391,0,0,0.0,0.0,1,1,1,50000,1,0,0,0.0,0,high,0,82.1,1
CL1057,38,Business Owner,700000,Aggressive,0.482,3,542466,442539.0,-0.184,0,0,1,10000,1,0,1,0.521,1,low,0,93.4,1
CL1058,58,Self-Employed,250000,Aggressive,0.396,4,556691,637575.0,0.145,0,0,1,10000,0,0,1,0.0,0,medium,0,76.8,1
CL1059,57,Salaried,75000,Conservative,0.428,5,759641,754195.0,-0.007,0,0,1,400000,1,1,1,0.465,0,low,0,100.0,1
CL1060,26,Business Owner,150000,Conservative,0.242,5,1155718,1269031.0,0.098,0,0,1,0,0,1,1,0.817,0,medium,0,58.2,1
CL1061,30,Self-Employed,50000,Moderate,0.458,0,0,0.0,0.0,0,0,1,400000,0,0,0,0.0,0,low,0,55.1,1
CL1062,32,Salaried,150000,Conservative,0.454,0,0,0.0,0.0,0,0,1,50000,1,0,0,0.0,0,low,0,71.7,1
CL1063,62,Business Owner,100000,Moderate,0.775,3,743062,819372.0,0.103,1,0,1,150000,1,1,1,0.0,0,medium,0,100.0,0
CL1064,29,Business Owner,100000,Conservative,0.385,2,248101,276064.0,0.113,0,0,1,0,0,0,0,0.545,0,low,0,51.9,0
CL1065,61,Self-Employed,700000,Conservative,0.644,1,390648,393466.0,0.007,0,0,1,50000,0,0,0,0.0,1,low,0,64.7,1
CL1066,37,Business Owner,150000,Aggressive,0.498,5,849363,855402.0,0.007,0,0,0,0,1,0,1,0.657,0,medium,0,73.3,0
CL1067,59,Self-Employed,150000,Conservative,0.321,3,748231,910025.0,0.216,0,0,1,0,1,0,1,0.0,0,low,0,100.0,1
CL1068,50,Business Owner,250000,Moderate,0.387,0,0,0.0,0.0,0,1,0,400000,1,0,0,0.0,0,medium,0,83.7,0
CL1069,59,Business Owner,35000,Moderate,0.318,4,856396,989341.0,0.155,0,0,1,50000,1,1,1,0.582,0,low,0,99.0,1
CL1070,49,Self-Employed,250000,Aggressive,0.501,0,0,0.0,0.0,0,1,1,10000,0,0,0,0.0,0,medium,0,68.3,0
CL1071,54,Business Owner,150000,Moderate,0.365,4,654497,730176.0,0.116,0,1,1,0,1,0,1,0.626,0,low,0,82.0,1
CL1072,49,Salaried,35000,Aggressive,0.255,2,599650,607031.0,0.012,1,0,1,0,0,1,1,0.0,0,medium,0,80.3,0
CL1073,31,Self-Employed,150000,Aggressive,0.328,3,640625,672688.0,0.05,0,1,1,0,1,1,0,0.356,0,medium,0,83.3,0
CL1074,30,Salaried,700000,Aggressive,0.255,1,395706,453492.0,0.146,0,0,1,400000,0,0,1,0.0,1,low,0,65.8,1
CL1075,53,Salaried,700000,Moderate,0.374,4,657174,739541.0,0.125,0,0,1,150000,0,1,1,0.0,1,low,1,79.2,0
CL1076,23,Business Owner,150000,Moderate,0.133,4,1031368,1122687.0,0.089,1,0,1,150000,0,1,1,0.0,0,high,1,86.4,0
CL1077,43,Business Owner,100000,Conservative,0.548,4,1064407,1044324.0,-0.019,2,2,1,400000,1,0,1,0.691,0,high,1,69.4,1
CL1078,32,Salaried,700000,Conservative,0.552,4,655633,492886.0,-0.248,0,1,1,50000,1,1,1,0.882,1,high,1,74.0,0
CL1079,27,Self-Employed,700000,Moderate,0.569,4,1078583,1054471.0,-0.022,0,0,1,50000,1,0,1,0.322,1,low,0,94.3,0
CL1080,27,Business Owner,100000,Aggressive,0.553,2,314910,339316.0,0.078,1,0,1,400000,1,0,0,0.0,0,high,0,75.1,1
CL1081,29,Salaried,700000,Aggressive,0.37,2,239487,234301.0,-0.022,0,0,1,10000,0,0,0,0.447,1,low,0,52.1,1
CL1082,49,Salaried,75000,Conservative,0.438,0,0,0.0,0.0,0,0,1,50000,1,0,0,0.0,0,low,0,83.6,1
CL1083,38,Business Owner,700000,Conservative,0.611,1,354445,313091.0,-0.117,0,0,1,10000,1,0,1,0.0,1,medium,1,92.9,1
CL1084,52,Business Owner,150000,Aggressive,0.479,1,251593,270061.0,0.073,0,0,1,150000,0,0,0,0.877,0,low,0,47.8,1
CL1085,39,Self-Employed,700000,Conservative,0.454,3,684160,803135.0,0.174,0,0,1,10000,1,0,1,0.477,1,low,0,91.3,1
CL1086,48,Salaried,150000,Aggressive,0.261,5,1172233,1139721.0,-0.028,1,0,1,10000,1,0,1,0.733,0,medium,0,83.0,0
CL1087,31,Business Owner,50000,Aggressive,0.213,0,0,0.0,0.0,0,0,1,50000,0,0,0,0.0,0,medium,0,53.7,1
CL1088,46,Salaried,75000,Moderate,0.077,2,237359,261294.0,0.101,0,0,0,150000,1,0,1,0.0,0,low,0,93.5,0
CL1089,46,Salaried,150000,Moderate,0.099,3,405400,449037.0,0.108,1,0,0,0,1,0,0,0.0,0,high,1,91.7,1
CL1090,48,Salaried,250000,Moderate,0.676,0,0,0.0,0.0,0,0,1,0,1,0,0,0.0,0,medium,0,85.7,1
CL1091,39,Business Owner,400000,Moderate,0.492,0,0,0.0,0.0,0,0,1,50000,0,0,0,0.0,1,low,1,51.2,1
CL1092,58,Business Owner,250000,Conservative,0.326,5,491801,505436.0,0.028,1,0,1,50000,0,1,1,0.441,0,medium,0,80.0,0
CL1093,57,Self-Employed,75000,Moderate,0.653,2,688374,790300.0,0.148,1,0,1,400000,1,0,0,0.0,0,medium,0,82.5,1
CL1094,49,Self-Employed,50000,Aggressive,0.294,3,639519,585563.0,-0.084,1,0,1,10000,0,0,0,0.711,0,low,0,39.7,1
CL1095,57,Salaried,250000,Moderate,0.24,2,326465,332322.0,0.018,1,0,1,400000,1,0,0,0.883,0,medium,0,64.7,0
CL1096,26,Salaried,250000,Conservative,0.336,4,795070,819839.0,0.031,0,0,1,150000,0,1,0,0.815,0,low,0,44.8,1
CL1097,32,Business Owner,75000,Moderate,0.396,1,366584,368220.0,0.004,0,1,1,0,0,0,0,0.774,0,low,0,30.8,1
CL1098,38,Salaried,250000,Conservative,0.439,2,536524,547387.0,0.02,0,0,0,0,1,0,0,0.767,0,low,0,58.5,1
CL1099,55,Self-Employed,50000,Aggressive,0.602,1,42735,46488.0,0.088,0,1,1,400000,1,1,0,0.0,0,medium,0,82.9,1
CL1100,52,Salaried,35000,Moderate,0.055,3,923099,872859.0,-0.054,2,0,0,0,0,0,1,0.389,0,high,0,78.3,0
CL1101,31,Business Owner,150000,Aggressive,0.602,4,1063857,917260.0,-0.138,0,0,1,50000,0,1,1,0.0,0,low,0,86.2,0
CL1102,30,Self-Employed,100000,Moderate,0.252,1,197697,191351.0,-0.032,1,0,1,50000,0,0,1,0.0,0,medium,0,63.7,1
CL1103,29,Self-Employed,250000,Moderate,0.478,5,518516,471933.0,-0.09,0,1,1,10000,1,0,1,0.634,0,medium,0,66.7,1
CL1104,60,Business Owner,250000,Conservative,0.483,3,615815,674280.0,0.095,0,0,1,10000,0,0,1,0.0,0,medium,0,77.5,1
CL1105,55,Salaried,100000,Aggressive,0.357,3,604582,634913.0,0.05,0,0,1,150000,0,0,0,0.557,0,low,0,59.5,1
CL1106,58,Business Owner,35000,Aggressive,0.405,5,722507,916994.0,0.269,0,0,1,150000,1,0,1,0.342,0,low,0,99.9,1
CL1107,24,Business Owner,50000,Aggressive,0.05,1,240113,220993.0,-0.08,1,0,1,0,0,0,1,0.0,0,low,0,71.0,1
CL1108,43,Salaried,50000,Conservative,0.26,1,343925,365679.0,0.063,1,1,0,0,0,0,0,0.0,0,high,1,52.4,1
CL1109,50,Business Owner,700000,Moderate,0.456,3,526040,460267.0,-0.125,1,1,0,400000,1,1,0,0.0,1,high,1,88.3,0
CL1110,54,Salaried,150000,Conservative,0.396,3,435953,441835.0,0.013,0,0,1,10000,0,1,0,0.372,0,low,0,66.1,0
CL1111,54,Salaried,400000,Conservative,0.319,3,965462,972407.0,0.007,0,0,1,0,0,1,0,0.0,1,low,0,64.3,0
CL1112,25,Salaried,400000,Moderate,0.454,0,0,0.0,0.0,0,0,1,150000,0,0,0,0.0,1,low,0,56.5,1
CL1113,48,Self-Employed,400000,Conservative,0.42,3,986852,685580.0,-0.305,1,0,1,0,0,0,0,0.364,1,medium,0,66.8,1
CL1114,50,Business Owner,400000,Conservative,0.553,3,438939,485578.0,0.106,0,0,0,400000,0,0,0,0.0,1,low,1,67.6,1
CL1115,55,Self-Employed,100000,Moderate,0.123,5,821199,689386.0,-0.161,0,0,1,400000,0,1,0,0.871,0,low,0,44.0,1
CL1116,54,Business Owner,700000,Aggressive,0.588,3,724043,880845.0,0.217,1,1,1,0,1,1,0,0.0,1,high,1,87.3,1
CL1117,42,Business Owner,150000,Conservative,0.304,2,444829,533516.0,0.199,0,0,1,0,0,1,0,0.472,0,low,0,64.6,1
CL1118,28,Self-Employed,400000,Aggressive,0.501,4,988725,1255820.0,0.27,0,0,1,150000,0,0,1,0.337,1,low,0,73.4,1
CL1119,29,Business Owner,250000,Conservative,0.467,4,1185653,849602.0,-0.283,0,0,1,0,0,0,0,0.851,0,low,0,28.7,1
CL1120,47,Self-Employed,400000,Aggressive,0.282,4,950599,1011265.0,0.064,1,0,1,10000,1,0,0,0.694,1,medium,0,74.6,1
CL1121,61,Self-Employed,75000,Conservative,0.321,4,1342812,1701670.0,0.267,0,0,0,400000,1,1,0,0.0,0,low,0,83.9,0
CL1122,42,Business Owner,400000,Moderate,0.427,1,388485,345837.0,-0.11,0,0,1,400000,1,0,0,0.0,1,medium,1,73.0,1
CL1123,56,Business Owner,50000,Aggressive,0.359,3,506548,445873.0,-0.12,1,1,1,10000,1,1,0,0.592,0,high,1,86.6,1
CL1124,37,Salaried,75000,Conservative,0.487,2,589170,685412.0,0.163,1,1,1,150000,0,0,0,0.502,0,high,1,56.6,1
CL1125,62,Business Owner,75000,Moderate,0.455,1,114815,118338.0,0.031,0,0,1,150000,1,0,0,0.0,0,low,0,87.5,1
CL1126,33,Salaried,700000,Moderate,0.05,2,397422,391662.0,-0.014,1,2,1,400000,1,0,0,0.0,1,high,1,74.0,0
CL1127,37,Self-Employed,100000,Moderate,0.34,1,375628,412094.0,0.097,1,0,1,50000,1,0,0,0.0,0,low,0,74.6,1
CL1128,41,Business Owner,400000,Aggressive,0.645,3,290990,265990.0,-0.086,0,1,1,10000,1,1,0,0.0,1,medium,1,82.5,1
CL1129,29,Self-Employed,50000,Conservative,0.326,1,255572,265565.0,0.039,0,0,1,0,1,0,0,0.0,0,low,0,77.2,1
CL1130,28,Self-Employed,100000,Moderate,0.284,0,0,0.0,0.0,0,0,1,50000,1,0,0,0.0,0,low,0,69.8,1
CL1131,38,Salaried,400000,Moderate,0.47,1,187082,196806.0,0.052,1,0,1,400000,1,0,0,0.775,1,low,0,54.0,1
CL1132,31,Self-Employed,35000,Moderate,0.303,5,401495,317663.0,-0.209,1,0,1,150000,1,1,1,0.0,0,medium,1,100.0,1
CL1133,61,Salaried,400000,Moderate,0.245,1,83883,86888.0,0.036,0,0,0,50000,1,0,0,0.0,1,low,0,87.9,0
CL1134,62,Salaried,700000,Conservative,0.29,3,963021,951361.0,-0.012,0,0,1,0,0,1,0,0.301,1,low,0,69.0,0
CL1135,45,Business Owner,100000,Moderate,0.087,1,370337,362583.0,-0.021,0,0,0,10000,0,0,0,0.0,0,medium,0,67.5,0
CL1136,56,Self-Employed,35000,Moderate,0.494,0,0,0.0,0.0,1,0,1,10000,0,0,0,0.0,0,medium,0,68.9,1
CL1137,24,Salaried,250000,Moderate,0.467,1,364511,368202.0,0.01,1,0,1,150000,1,0,0,0.0,0,medium,0,81.5,1
CL1138,44,Salaried,75000,Moderate,0.355,4,1122249,995276.0,-0.113,1,1,1,0,1,0,1,0.0,0,high,1,96.5,1
CL1139,52,Self-Employed,35000,Conservative,0.437,0,0,0.0,0.0,0,0,1,0,0,0,0,0.0,0,low,0,63.8,1
CL1140,42,Business Owner,400000,Moderate,0.423,2,290197,295663.0,0.019,0,0,1,0,1,0,0,0.499,1,low,0,81.4,1
CL1141,30,Self-Employed,250000,Moderate,0.549,5,1328371,899296.0,-0.323,0,0,1,400000,0,0,1,0.0,0,medium,0,67.2,1
CL1142,50,Business Owner,75000,Moderate,0.253,2,558436,531226.0,-0.049,0,0,1,50000,1,0,0,0.556,0,low,0,89.1,1
CL1143,51,Self-Employed,250000,Conservative,0.192,5,1190814,1291541.0,0.085,1,1,1,150000,1,1,1,0.0,0,high,0,100.0,0
CL1144,33,Salaried,35000,Aggressive,0.513,5,1144637,1096446.0,-0.042,0,0,1,0,1,1,1,0.707,0,low,0,80.7,1
CL1145,46,Self-Employed,250000,Conservative,0.262,4,862365,659213.0,-0.236,1,0,1,0,1,1,1,0.0,0,medium,0,96.1,1
CL1146,54,Business Owner,400000,Conservative,0.123,2,643093,664535.0,0.033,0,0,1,150000,0,0,0,0.0,1,low,0,62.7,1
CL1147,54,Salaried,100000,Conservative,0.329,0,0,0.0,0.0,0,1,1,400000,0,0,0,0.0,0,low,0,59.4,1
CL1148,28,Business Owner,250000,Moderate,0.587,5,1629239,1459903.0,-0.104,1,1,1,10000,1,1,0,0.373,0,high,1,81.7,1
CL1149,35,Salaried,75000,Moderate,0.578,0,0,0.0,0.0,1,0,1,150000,0,0,0,0.0,0,medium,0,48.9,1
CL1150,58,Business Owner,75000,Conservative,0.181,0,0,0.0,0.0,0,1,1,400000,1,0,0,0.0,0,medium,0,91.7,1
CL1151,56,Self-Employed,400000,Aggressive,0.315,0,0,0.0,0.0,0,0,0,10000,1,0,0,0.0,1,low,0,82.4,0
CL1152,51,Business Owner,700000,Aggressive,0.395,2,683605,604651.0,-0.115,0,1,1,0,0,1,0,0.0,1,high,1,66.9,1
CL1153,26,Business Owner,50000,Conservative,0.576,2,581061,473553.0,-0.185,0,1,1,150000,1,0,0,0.0,0,high,1,72.2,1
CL1154,28,Salaried,150000,Aggressive,0.316,4,1078246,1090539.0,0.011,0,0,1,0,0,0,0,0.675,0,low,0,34.6,1
CL1155,61,Business Owner,250000,Conservative,0.51,0,0,0.0,0.0,0,1,0,400000,1,0,0,0.0,0,medium,0,85.3,1
CL1156,39,Business Owner,100000,Moderate,0.389,4,956516,1132570.0,0.184,0,0,1,400000,0,0,1,0.572,0,low,0,72.0,1
CL1157,26,Self-Employed,75000,Moderate,0.561,3,617270,534888.0,-0.133,0,0,1,10000,1,0,1,0.0,0,low,0,86.6,1
CL1158,45,Salaried,400000,Moderate,0.077,4,764750,634958.0,-0.17,0,1,1,0,0,1,0,0.867,1,medium,1,48.7,0
CL1159,62,Salaried,400000,Conservative,0.36,2,303479,318123.0,0.048,1,0,1,50000,1,1,0,0.0,1,low,0,80.9,1
CL1160,52,Self-Employed,700000,Moderate,0.392,0,0,0.0,0.0,1,2,0,50000,1,0,0,0.0,1,high,1,85.0,0
CL1161,38,Business Owner,100000,Moderate,0.56,0,0,0.0,0.0,0,0,0,50000,1,0,0,0.0,0,medium,0,74.7,1
CL1162,53,Business Owner,150000,Conservative,0.39,0,0,0.0,0.0,0,0,1,10000,1,0,0,0.0,0,low,0,91.1,1
CL1163,48,Salaried,250000,Moderate,0.432,0,0,0.0,0.0,0,1,1,0,0,0,0,0.0,0,low,0,63.5,1
CL1164,41,Self-Employed,50000,Aggressive,0.355,3,1063844,963641.0,-0.094,0,0,0,0,0,1,0,0.0,0,low,0,67.0,1
CL1165,44,Salaried,250000,Conservative,0.557,4,570127,552257.0,-0.031,1,0,1,50000,1,1,1,0.389,0,low,0,100.0,1
CL1166,55,Self-Employed,75000,Aggressive,0.486,2,520107,317964.0,-0.389,0,0,1,150000,1,0,1,0.0,0,low,0,94.1,1
CL1167,57,Business Owner,700000,Aggressive,0.402,2,406789,442136.0,0.087,0,0,1,50000,1,0,1,0.778,1,low,0,79.9,1
CL1168,24,Self-Employed,700000,Aggressive,0.466,4,1152142,999229.0,-0.133,1,0,1,50000,0,1,1,0.708,1,medium,0,61.1,1
CL1169,25,Salaried,50000,Conservative,0.229,3,745428,620104.0,-0.168,0,0,1,150000,1,0,1,0.0,0,low,0,95.6,1
CL1170,26,Business Owner,75000,Conservative,0.359,4,855801,958433.0,0.12,0,0,1,10000,1,1,1,0.0,0,low,0,100.0,1
CL1171,39,Salaried,700000,Conservative,0.434,2,313930,318170.0,0.014,0,0,1,400000,0,1,0,0.0,1,low,1,61.1,0
CL1172,54,Self-Employed,250000,Moderate,0.298,4,1084096,1272373.0,0.174,0,0,1,50000,1,1,0,0.0,0,low,0,81.9,1
CL1173,32,Salaried,150000,Moderate,0.309,5,993826,1189286.0,0.197,0,0,1,400000,0,1,1,0.366,0,low,0,82.6,1
CL1174,60,Salaried,100000,Conservative,0.488,5,1166347,1173099.0,0.006,2,1,1,0,0,1,1,0.63,0,high,0,62.2,1
CL1175,33,Business Owner,400000,Moderate,0.455,3,716659,626445.0,-0.126,1,0,0,0,1,0,0,0.0,1,medium,0,77.3,1
CL1176,37,Salaried,35000,Moderate,0.473,1,228139,216796.0,-0.05,0,1,1,0,1,0,0,0.877,0,medium,0,54.3,1
CL1177,41,Salaried,35000,Moderate,0.437,4,1214179,1506920.0,0.241,1,1,1,0,1,1,0,0.581,0,high,0,86.6,0
CL1178,35,Self-Employed,50000,Conservative,0.479,5,1183952,1288086.0,0.088,0,1,1,400000,1,0,1,0.796,0,high,1,62.4,1
CL1179,55,Salaried,250000,Moderate,0.128,5,694937,759936.0,0.094,1,1,1,10000,1,1,1,0.481,0,high,0,100.0,0
CL1180,59,Self-Employed,35000,Aggressive,0.207,2,422683,395876.0,-0.063,0,0,0,10000,0,0,0,0.0,0,medium,0,62.9,0
CL1181,55,Business Owner,150000,Conservative,0.358,5,1057166,1287862.0,0.218,0,1,1,400000,1,1,0,0.582,0,low,0,84.5,1
CL1182,57,Salaried,100000,Aggressive,0.533,4,956517,893752.0,-0.066,0,2,1,0,0,1,1,0.629,0,high,0,60.9,1
CL1183,55,Business Owner,100000,Aggressive,0.613,1,192028,141309.0,-0.264,1,0,1,50000,0,0,0,0.0,0,high,1,65.7,1
CL1184,36,Salaried,700000,Aggressive,0.068,3,616067,588712.0,-0.044,0,0,1,0,1,0,1,0.704,1,medium,1,76.5,1
CL1185,42,Self-Employed,35000,Moderate,0.494,0,0,0.0,0.0,1,0,1,150000,0,0,0,0.0,0,medium,0,57.8,1
CL1186,50,Business Owner,250000,Conservative,0.387,4,610247,745496.0,0.222,0,0,1,400000,1,0,1,0.552,0,low,0,99.7,1
CL1187,47,Self-Employed,700000,Moderate,0.173,0,0,0.0,0.0,2,0,1,400000,1,0,0,0.0,1,high,1,84.1,0
CL1188,31,Salaried,250000,Conservative,0.456,4,492915,573414.0,0.163,0,0,1,150000,0,1,1,0.0,0,low,0,80.6,0
CL1189,47,Salaried,100000,Moderate,0.352,2,197981,193598.0,-0.022,0,0,0,400000,0,0,0,0.0,0,medium,0,60.3,0
CL1190,24,Salaried,100000,Conservative,0.404,0,0,0.0,0.0,0,0,1,50000,1,0,0,0.0,0,low,0,71.0,1
CL1191,26,Business Owner,100000,Conservative,0.285,3,276974,327948.0,0.184,1,0,1,10000,0,1,1,0.0,0,medium,0,81.4,0
CL1192,59,Business Owner,250000,Aggressive,0.526,5,1209689,1042238.0,-0.138,1,1,1,150000,1,0,0,0.828,0,high,1,65.4,1
CL1193,34,Business Owner,400000,Moderate,0.664,0,0,0.0,0.0,1,0,1,400000,1,0,0,0.0,1,medium,0,68.7,1
